 Year	Distance/100	Time	Altitude
 1900	2	22.20	  25
 1904	2	21.60	 455
 1908	2	22.40	   8
 1912	2	21.70	  46
 1920	2	22.00	   3
 1924	2	21.60	  25
 1928	2	21.80	   8
 1932	2	21.20	 340
 1936	2	20.70	 115
 1948	2	21.10	   8
 1952	2	20.70	  25
 1956	2	20.60	   3
 1960	2	20.50	  66
 1964	2	20.30	  45
 1968	2	19.83	7349
 1972	2	20.00	1699
 1976	2	20.23	 104
 1980	2	20.19	 497
 1984	2	19.80	 340
 1988	2	19.75	 111
 1992	2	20.01	   3
 1996	2	19.32	1026
 2000	2	20.09	   3
 1900	4	49.40	  25
 1904	4	49.20	 455
 1908	4  	50.00	   8
 1912	4	48.20	  46
 1920	4	49.60	   3
 1924	4	47.60	  25
 1928	4	47.80	   8
 1932	4	46.20	 340
 1936	4	46.50	 115
 1948	4	46.20	   8
 1952	4	45.90	  25
 1956	4	46.70	   3
 1960	4	44.90	  66
 1964	4	45.10	  45
 1968	4	43.80	7349
 1972	4	44.66	1699
 1976	4	44.26	 104
 1980	4	44.60	 497
 1984	4	44.27	 340
 1988	4	43.87	 111
 1992	4	43.50	   3
 1996	4	43.49	1026
 2000	4	43.84	   3
 1900	8	121.40	  25
 1904	8	116.00	 455
 1908	8	112.80	   8
 1912	8	111.90	  46
 1920	8	113.40	   3
 1924	8	112.40	  25
 1928	8	111.80	   8
 1932	8	109.80	 340
 1936	8	112.90	 115
 1948	8	109.20	   8
 1952	8	109.20	  25
 1956	8	107.70	   3
 1960	8	106.30	  66
 1964	8	105.10	  45
 1968	8	104.30	7349
 1972	8	105.90	1699
 1976	8	103.50	 104
 1980	8	105.40	 497
 1984	8	103.00	 340
 1988	8	103.45	 111
 1992	8	103.66	   3
 1996	8	102.58	1026
 2000	8	105.08	   3
 1900	15	246.00	  25
 1904	15	245.40	 455
 1908	15	243.40	   8
 1912	15	236.80	  46
 1920	15	241.80	   3
 1924	15	233.60	  25
 1928	15	233.20	   8
 1932	15	231.20	 340
 1936	15	227.80	 115
 1948	15	225.20	   8
 1952	15	225.20	  25
 1956	15	221.20	   3
 1960	15	215.60	  66
 1964	15	218.10	  45
 1968	15	214.90	7349
 1972	15	216.30	1699
 1976	15	219.20	 104
 1980	15	218.40	 497
 1984	15	212.50	 340
 1988	15	215.96	 111
 1992	15	220.12	   3
 1996	15	215.78	1026
 2000	15	212.07	   3
